X,Y,,truck_name,repair_type,date_fixed,strHeading,address,activity_type,longitude,latitude,OBJECTID
-76.149036442756994,43.044362607133898,6843,285,SNOW&ICE,2018-01-0302:19:56.000,SW,600MONTGOMERYST&HARRISON,,-76.149036442757,43.0443626071339,14110
-76.152197443791295,43.044484407033899,6868,285,SNOW&ICE,2018-01-0302:20:25.000,NW,482SALINASTS,,-76.1521974437913,43.0444844070339,14111
-76.1521327437802,43.044622607061797,6871,285,SNOW&ICE,2018-01-0302:20:28.000,NE,111-13ONONDAGASTE&SALINAST,,-76.1521327437802,43.0446226070618,14112
-76.150970243459497,43.045406707250898,6884,285,SNOW&ICE,2018-01-0302:20:47.000,SE,147ONONDAGASTE,,-76.1509702434595,43.0454067072509,14113
-76.150930443442803,43.045353607242703,6888,285,SNOW&ICE,2018-01-0302:20:51.000,S,147ONONDAGASTE,PlowUp,-76.1509304434428,43.0453536072427,14114
-76.1508117433699,43.044876407159599,6896,285,SNOW&ICE,2018-01-0302:21:03.000,S,100-08ONONDAGASTE&WARRENST,PlowDown,-76.1508117433699,43.0448764071596,14115
-76.151048743302098,43.042866406781002,6916,285,SNOW&ICE,2018-01-0302:21:28.000,W,599SALINASTS&ADAMSSTE,,-76.1510487433021,43.042866406781,14116
-76.151573643480106,43.0429729067802,6923,285,SNOW&ICE,2018-01-0302:21:36.000,NW,580-84SALINASTS&ADAMSSTW,,-76.1515736434801,43.0429729067802,14117
-76.152031143727001,43.044340607013901,6941,285,SNOW&ICE,2018-01-0302:21:55.000,NE,100-08ONONDAGASTE&WARRENST,,-76.152031143727,43.0443406070139,14118
-76.150950143372199,43.044284407045403,6959,285,SNOW&ICE,2018-01-0302:22:09.000,SE,100-08ONONDAGASTE&WARRENST,,-76.1509501433722,43.0442844070454,14119
-76.150935243267497,43.042897206790997,6976,285,SNOW&ICE,2018-01-0302:22:29.000,S,599SALINASTS&ADAMSSTE,,-76.1509352432675,43.042897206791,14120
-76.151442743428902,43.042851206762897,6981,285,SNOW&ICE,2018-01-0302:22:38.000,W,580-84SALINASTS&ADAMSSTW,,-76.1514427434289,43.0428512067629,14121
-76.152255143816006,43.044568107046999,6996,285,SNOW&ICE,2018-01-0302:23:02.000,N,482SALINASTS,,-76.152255143816,43.044568107047,14122
-76.152055143915405,43.046850207474101,7028,285,SNOW&ICE,2018-01-0302:23:33.000,E,359SALINASTS&JEFFERSONS,,-76.1520551439154,43.0468502074741,14123
-76.150922643550004,43.0468782075232,7043,285,SNOW&ICE,2018-01-0302:23:52.000,SE,409WARRENSTS,,-76.15092264355,43.0468782075232,14124
-76.150835143478403,43.0462782074163,7057,285,SNOW&ICE,2018-01-0302:24:09.000,S,431-35WARRENSTS,StopMoving,-76.1508351434784,43.0462782074163,14125
-76.150881643446098,43.045620107293502,7066,285,SNOW&ICE,2018-01-0302:24:21.000,S,499WARRENSTSTOONONDAGAS,StartMoving,-76.1508816434461,43.0456201072935,14126
-76.152128643781197,43.044654907067901,7078,285,SNOW&ICE,2018-01-0302:24:41.000,W,111-13ONONDAGASTE&SALINAST,,-76.1521286437812,43.0446549070679,14127
-76.152271943834094,43.044743107078503,7083,285,SNOW&ICE,2018-01-0302:24:46.000,N,482SALINASTS,StopMoving,-76.1522719438341,43.0447431070785,14128
-76.152199743858006,43.0454009072022,7090,285,SNOW&ICE,2018-01-0302:24:56.000,N,449-53SALINASTS,StartMoving,-76.152199743858,43.0454009072022,14129
-76.152197944018894,43.047643407614402,7118,285,SNOW&ICE,2018-01-0302:25:25.000,N,331SALINASTSTOBANKST,StopMoving,-76.1521979440189,43.0476434076144,14130
-76.152156744045598,43.0482006077184,7130,285,SNOW&ICE,2018-01-0302:25:42.000,N,313SALINASTSTOBANKST,StartMoving,-76.1521567440456,43.0482006077184,14131
-76.151987643994204,43.048248407733702,7132,285,SNOW&ICE,2018-01-0302:25:46.000,E,313SALINASTSTOBANKST,,-76.1519876439942,43.0482484077337,14132
-76.150840643625799,43.048300107787597,7149,285,SNOW&ICE,2018-01-0302:26:01.000,S,306-08WARRENSTS,,-76.1508406436258,43.0483001077876,14133
-76.150896143564907,43.047203707584003,7173,285,SNOW&ICE,2018-01-0302:26:29.000,SW,352-68WARRENSTS&JEFFERSONS,,-76.1508961435649,43.047203707584,14134
-76.152070443941895,43.047148407528297,7183,285,SNOW&ICE,2018-01-0302:26:46.000,NW,359SALINASTS&JEFFERSONS,,-76.1520704439419,43.0471484075283,14135
-76.152132244013899,43.047870707658703,7191,285,SNOW&ICE,2018-01-0302:27:02.000,N,323SALINASTSTOBANKST,StopMoving,-76.1521322440139,43.0478707076587,14136
