X,Y,truck_name,repair_type,date_fixed,date_fixed1,address,activity_type,longitude,latitude,OBJECTID
-76.112117932018748,43.061620611733822,208,SNOW & ICE,2017-03-13 00:01:20.000,2017-03-13 00:01:20.000,372 STAFFORD AVE & SUNNYCREST                     ,    Spreader Off,-76.1121179320187,43.0616206117338,26
-76.158415444759754,43.029911404114422,267,SNOW & ICE,2017-03-13 00:01:21.000,2017-03-13 00:01:21.000,817 SOUTH AVE                                     ,,-76.1584154447598,43.0299114041144,27
-76.142165640999281,43.050914608603932,265,SNOW & ICE,2017-03-13 00:01:23.000,2017-03-13 00:01:24.000,627 WATER ST E & ALMOND ST &                      ,,-76.1421656409993,43.0509146086039,28
-76.157898947395324,43.06883171128591,216,SNOW & ICE,2017-03-13 00:01:27.000,2017-03-13 00:01:27.000,1500 PARK ST & COURT ST                           ,    Start Moving,-76.1578989473953,43.0688317112859,29
-76.145882443874186,43.074081112715561,178,SNOW & ICE,2017-03-13 00:01:34.000,2017-03-13 00:01:34.000,2308 GRANT BLVD & MCCHESNEY PK                    ,,-76.1458824438742,43.0740811127156,30
-76.142168140998379,43.050890908599506,265,SNOW & ICE,2017-03-13 00:01:38.000,2017-03-13 00:01:38.000,627 WATER ST E & ALMOND ST &                      ,    Spreader On,-76.1421681409984,43.0508909085995,31
-76.142220241012964,43.050858608591554,265,SNOW & ICE,2017-03-13 00:01:40.000,2017-03-13 00:01:41.000,627 WATER ST E & ALMOND ST &                      ,    Start Moving,-76.142220241013,43.0508586085916,32
-76.160756746110579,43.038128405534223,283,SNOW & ICE,2017-03-13 00:01:42.000,2017-03-13 00:01:42.000,648 ONONDAGA ST W                                 ,,-76.1607567461106,43.0381284055342,33
-76.112217932127805,43.06268521192554,208,SNOW & ICE,2017-03-13 00:01:43.000,2017-03-13 00:01:43.000,332 STAFFORD AVE                                  ,    Spreader On,-76.1122179321278,43.0626852119255,34
-76.111350731324947,43.055435710627002,179,SNOW & ICE,2017-03-13 00:01:48.000,2017-03-13 00:01:49.000,1820 EB I 690 SYRACUSE 13210                      ,,-76.1113507313249,43.055435710627,35
-76.164836445966628,43.017733401626636,263,SNOW & ICE,2017-03-13 00:01:48.000,2017-03-13 00:01:48.000,144 ELMWOOD AVE TO GREENWOOD                      ,,-76.1648364459666,43.0177334016266,36
-76.110542431082294,43.055709210708535,286,SNOW & ICE,2017-03-13 00:01:54.000,2017-03-13 00:01:55.000,1824 EB I 690 SYRACUSE 13210                      ,,-76.1105424310823,43.0557092107085,37
-76.110811431165502,43.055652710687731,210,SNOW & ICE,2017-03-13 00:01:56.000,2017-03-13 00:01:57.000,1822 EB I 690 SYRACUSE 13210                      ,,-76.1108114311655,43.0556527106877,38
-76.112314732234069,43.063725612112947,208,SNOW & ICE,2017-03-13 00:01:57.000,2017-03-13 00:01:57.000,271 STAFFORD AVE & GLENCOVE R                     ,    Spreader Off,-76.1123147322341,43.0637256121129,39
-76.165456246115937,43.017014401470433,263,SNOW & ICE,2017-03-13 00:02:06.000,2017-03-13 00:02:06.000,114 EDGEWOOD AVE                                  ,,-76.1654562461159,43.0170144014704,40
-76.111643932359868,43.068499713015939,285,SNOW & ICE,2017-03-13 00:02:20.000,2017-03-13 00:02:20.000,2430-50 JAMES ST & FOREST HILL DR                 ,,-76.1116439323599,43.0684997130159,41
-76.158938945366202,43.035978905209539,267,SNOW & ICE,2017-03-13 00:02:21.000,2017-03-13 00:02:21.000,310-12 SOUTH AVE                                  ,,-76.1589389453662,43.0359789052095,42
-76.112484232422702,43.065583112447648,208,SNOW & ICE,2017-03-13 00:02:23.000,2017-03-13 00:02:24.000,208 STAFFORD AVE                                  ,    Spreader On,-76.1124842324227,43.0655831124476,43
-76.155048446747543,43.072676612102484,216,SNOW & ICE,2017-03-13 00:02:27.000,2017-03-13 00:02:27.000,709 COURT ST                                      ,,-76.1550484467475,43.0726766121025,44
