block,streetName,streetType,streetDirection,overall,crack,patch,length,width,dateRated,dateLastOverlay,flushOil,class,pavement,streetID,FID
200,LENNOX,AVE,,5,2,4,342,29,5/14,,O,Local,3,12578485,2073
200,FERNDALE,DR,,6,3,3,1071,24,6/15,,O,Local,3,12576581,2074
200,LEON,ST,,5,3,2,940,22,4/15,1998,F,Local,6,12577414,2075
200,FILLMORE,AVE,,5,2,4,360,27,6/15,1987,F,Local,6,12576755,2076
200,LEWIS,ST,,5,3,4,285,30,6/14,,O,Local,3,12572853,2077
200,FIRST NORTH,ST,,6,3,3,240,27,4/15,,O,Local,3,12580197,2078
200,LEWISTON,DR,,7,3,4,388,24,3/15,1998,O,Local,3,12577148,2079
200,FIRST NORTH,ST,,6,3,3,240,27,4/15,,O,Local,3,13012405,2080
200,LEXINGTON,AVE,,5,3,2,414,34,6/15,1993,F,Local,6,12578214,2081
200,LILAC,ST,,8,4,4,787,24,4/15,2007,F,Local,6,12575184,2082
200,FIRST NORTH,ST,,6,3,3,240,27,4/15,,O,Local,3,12580196,2083
200,FITCH,ST,,4,3,1,1275,30,4/14,1989,F,Local,6,12573100,2084
200,LILLIAN,AVE,,6,3,3,375,25,5/15,,O,Local,3,12581091,2085
200,FLETCHER,AVE,,5,2,3,457,23,6/14,1993,O,Local,3,12571909,2086
200,LIME,ST,,5,3,3,293,27,5/14,1999,O,Local,3,12579001,2087
200,FOBES,AVE,,5,3,3,685,28,4/14,1989,O,Local,3,12581059,2088
200,FORDHAM,RD,,4,3,1,580,34,5/15,,F,Local,6,12580526,2089
200,LINCOLN,AVE,,5,3,2,686,,3/15,2002,F,Local,6,12573321,2090
200,LINCOLN,AVE,,5,3,2,686,,3/15,2002,F,Local,6,12573314,2091
200,FOREST,AVE,,6,3,3,420,28,3/15,,O,Local,3,12576797,2092
200,LINCOLN PARK,DR,,8,4,4,410,24,4/15,2004,F,Local,6,12580326,2093
200,FOREST HILL,DR,,4,2,2,814,36,4/14,1993,F,Local,6,13018675,2094
200,LINCOLN PARK,DR,,8,4,4,410,24,4/15,2004,F,Local,6,12580322,2095
200,FOREST HILL,DR,,4,2,2,814,36,4/14,1993,F,Local,6,12580978,2096
200,LISTMAN,AVE,,7,3,4,252,24,4/15,1989,O,Local,3,13028353,2097
200,FORMAN,AVE,,6,3,2,300,37,5/15,2004,F,Local,6,12577804,2098
200,LISTMAN,AVE,,7,3,4,252,24,4/15,1989,O,Local,3,13028354,2099
200,FOURTH NORTH,ST,,6,2,4,455,34,4/15,1993,O,Local,3,12575529,2100
200,LOCKSLEY,RD,,6,3,4,925,29,5/14,1997,O,Local,3,12578647,2101
200,LOCKWOOD,RD,,6,3,3,1325,24,5/14,1989,O,Local,3,12578677,2102
200,LODI,ST,,8,4,4,216,40,4/14,1992,F,MA,6,12578247,2103
200,CADILLAC,ST,,6,3,3,342,26,4/15,,O,Local,3,12580578,2104
200,HARVARD,PL,,5,2,3,318,27,5/14,2001,F,Local,6,12578687,2105
200,LODI,ST,,8,4,4,216,40,4/14,1992,F,MA,6,12578246,2106
200,CORAL,AVE,,6,3,3,249,23,6/14,,O,Local,3,12576686,2107
200,FRANKLIN,ST,N,7,4,4,180,45,4/14,,F,Local,6,12573899,2108
200,MENLO,DR,,6,3,3,381,27,5/14,2003,F,Local,6,12576757,2109
200,CADWELL,ST,,6,4,3,282,,4/14,,O,Local,3,12573085,2110
200,FRANKLIN,ST,N,7,4,4,180,45,4/14,,F,Local,6,12573897,2111
200,MERRILL,ST,,3,3,2,435,24,4/14,2005,O,Local,3,12580698,2112
200,LOMA,AVE,,3,1,2,498,27,4/14,,O,Local,3,12580611,2113
200,HARWOOD,AVE,,5,3,3,708,25,5/14,,O,Local,3,12578888,2114
200,CORNING,AVE,W,6,3,3,717,28,6/15,,O,Local,3,12576802,2115
200,CALEB,AVE,,5,3,3,342,28,4/14,2001,O,Local,3,12580914,2116
200,COUGHLIN,AVE,,5,3,2,246,27,1//1,2004,O,Local,3,12581100,2117
200,HASTINGS,PL,,3,2,1,340,25,4/14,,F,Local,6,13010346,2118
200,CALTHROP,AVE,W,7,4,2,733,25,5/14,1999,F,Local,6,12576737,2119
200,COURT,ST,,7,4,3,470,34,4/14,1989,F,MA,6,12575271,2120
200,HASTINGS,PL,,3,2,1,340,25,4/14,,F,Local,6,12580931,2121
200,CAMP,AVE,,7,3,5,440,28,4/15,,O,Local,3,12571762,2122
200,COURT,ST,W,4,2,2,470,36,4/14,,F,MA,6,12575072,2123
200,HATHERLY,RD,,3,2,2,348,27,5/14,,F,Local,4,12578569,2124
200,CRADDOCK,ST,,7,4,4,295,25,4/15,2004,F,Local,6,12572043,2125
200,HAWLEY,AVE,,6,3,3,460,34,4/15,2004,F,Local,6,12578059,2126
200,CAMP,AVE,,7,3,5,440,28,4/15,,O,Local,3,12571764,2127
200,LOOMIS,AVE,,7,4,5,616,29,6/14,,O,Local,3,12571938,2128
200,MERRIMAN,AVE,,4,3,2,470,25,4/14,1993,F,Local,6,12573290,2129
200,FRANKLIN,ST,S,6,3,3,300,45,4/14,2001,F,Local,6,12573745,2130
200,CRAFTON,AVE,,6,2,4,255,26,4/15,,O,Local,3,12564371,2131
200,HAWTHORNE,ST,,6,3,3,310,24,5/14,2003,F,Local,6,12578185,2132
200,CANNON,ST,,6,3,2,291,24,5/14,,F,Local,6,12576835,2133
200,GARFIELD,AVE,,6,4,3,588,27,3/15,1998,F,Local,6,12577322,2134
200,MERRIMAN,AVE,,4,3,2,470,25,4/14,1993,F,Local,6,12573287,2135
200,CRAIG,ST,,8,4,4,295,27,4/14,1989,O,Local,3,12580213,2136
200,LOWELL,AVE,N,6,2,4,528,36,4/15,2000,F,Local,6,12573471,2137
200,HAYDEN,AVE,,5,2,3,460,,6/14,,O,Local,3,12572789,2138
200,CARBON,ST,,3,2,1,717,36,4/14,1987,F,Local,6,12580068,2139
200,CARBON,ST,S,3,2,2,281,27,4/14,,F,Local,6,12580113,2140
200,HAYES,TER,,5,3,5,150,24,6/15,,O,Local,3,12564403,2141
200,CRATON,ST,,8,4,5,390,28,4/14,2005,F,Local,6,12578358,2142
200,LOWELL,AVE,S,8,4,5,304,30,6/14,2003,F,Local,6,12573385,2143
200,GARFIELD,AVE,,6,4,3,588,27,3/15,1998,F,Local,6,12577299,2144
200,MERTENS,AVE,,5,3,4,312,27,5/15,2004,O,Local,3,12580301,2145
200,CARLTON,DR,,7,3,5,,,5/14,,O,Local,3,12578949,2146
200,LUDDINGTON,ST,,6,3,4,750,26,4/14,,O,Local,3,12581138,2147
200,HAZELHURST,AVE,,5,2,5,537,27,4/14,,O,Local,3,12581048,2148
200,CRAWFORD,AVE,,5,3,3,665,28,6/15,,F,Local,6,12578561,2149
200,MIDLAND,AVE,,6,3,4,519,34,4/14,2005,F,MA,6,12573346,2150
200,GARFIELD,AVE,,6,4,3,588,27,3/15,1998,F,Local,6,13002101,2151
200,LUDDINGTON,ST,,6,3,4,750,26,4/14,,O,Local,3,12581163,2152
200,CARLTON,DR,,7,3,5,,,5/14,,O,Local,3,13011137,2153
200,HAZELWOOD,AVE,,6,3,3,990,27,5/14,,O,Local,3,12578962,2154
200,GEDDES,ST,N,9,5,5,681,46,4/14,2011,F,MA,6,12573536,2155
200,CRESCENT,AVE,,2,2,1,480,32,3/14,,O,Local,6,12573182,2156
200,MIDLER,AVE,N,9,5,5,1000,36,5/15,2012,F,MA,6,12581113,2157
200,LYDELL,ST,,8,4,5,282,25,4/14,,O,Local,3,12573019,2158
200,CARLTON,RD,,6,3,3,452,27,4/14,2000,F,Local,6,12571868,2159
200,HELEN,ST,,6,3,3,471,27,5/15,,F,Local,6,12580351,2160
200,CRESCENT,AVE,,2,2,1,480,32,3/14,,O,Local,6,12573183,2161
200,CATAWBA,ST,,6,3,3,360,42,4/14,2001,F,Local,6,12575171,2162
200,HENRY,ST,,3,2,2,300,27,4/14,1993,F,Local,6,12577431,2163
200,CRESCENT,AVE,,2,2,1,480,32,3/14,,O,Local,6,12573140,2164
200,CATAWBA,ST,,6,3,3,360,42,4/14,2001,F,Local,6,12575172,2165
200,LYNCH,AVE,,6,3,4,332,23,6/14,1995,O,Local,3,12571913,2166
200,GEDDES,ST,S,8,4,5,525,56,6/14,2011,F,MA,6,12573456,2167
200,MIDLER,AVE,S,6,3,2,820,34,4/14,1994,F,MA,6,12580994,2168
200,HERALD,PL,,6,4,3,375,40,4/15,2006,F,Local,6,12573948,2169
200,CRESTVIEW,DR,,7,3,4,323,28,4/15,,O,Local,3,12571724,2170
200,CATHERINE,ST,,5,3,3,378,30,4/15,,F,Local,6,12578027,2171
200,CROLY,ST,,2,1,1,1232,30,6/15,,F,Local,6,12578715,2172
200,HERBERT,ST,,6,3,4,360,31,4/15,2002,O,Local,3,12580162,2173
200,CAYUGA,ST,,6,3,4,605,31,4/15,1999,O,Local,3,13010441,2174
200,MILDRED,AVE,,4,2,2,1080,25,5/15,1987,F,Local,6,13012323,2175
200,GENANT,DR,,6,3,2,1106,21,4/15,,F,Local,6,12575100,2176
200,MADISON,ST,,8,4,5,369,48,4/14,2009,F,Local,6,12577682,2177
200,CROSSETT,ST,,8,4,5,411,25,3/14,2001,F,Local,6,12573121,2178
200,HERKIMER,ST,,4,3,3,282,29,6/1,,O,Local,3,12572849,2179
200,GENESEE,ST,W,6,4,3,450,42,4/15,2012,F,PA,6,12573896,2180
200,CAYUGA,ST,,6,3,4,605,31,4/15,1999,O,Local,3,12572812,2181
200,MILES,AVE,,8,4,4,591,36,5/14,2005,F,Local,6,12578478,2182
200,MAGNOLIA,ST,,7,4,3,808,,6/14,1997,F,Local,6,12573427,2183
200,HERRIMAN,ST,,8,4,4,477,28,4/14,,O,Local,3,12573035,2184
200,CROUSE,AVE,N,3,2,2,422,32,4/14,,F,Local,6,12578058,2185
200,CHAMPLIN,DR,,5,3,3,576,23,4/14,,O,Local,3,12581126,2186
200,CROUSE,AVE,S,6,3,4,331,36,4/14,2004,F,Local,6,12577821,2187
200,HIAWATHA,BLVD,E,3,2,1,411,47,4/14,,F,MA,6,12575242,2188
200,CHAMPLIN,DR,,5,3,3,576,23,4/14,,O,Local,3,13012212,2189
200,MAINS,AVE,,6,4,3,273,28,4/15,1996,O,Local,3,12571761,2190
200,HIAWATHA,BLVD,W,5,3,3,1550,59,4/15,,F,MA,6,12575193,2191
200,MILFORD,DR,E,5,3,3,495,24,4/14,,O,Local,3,12581241,2192
200,GENESEE PARK,DR,,6,3,4,1054,27,5/14,1993,O,Local,3,12578753,2193
200,CROYDEN,RD,,6,3,3,500,27,5/14,1988,O,Local,3,12578451,2194
200,CHAMPLIN,DR,,5,3,3,576,23,4/14,,O,Local,3,13012213,2195
200,MAINS,AVE,,6,4,3,273,28,4/15,1996,O,Local,3,13020787,2196
